age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,final_grade
14,male,public,post graduate,3.1,84.3,yes,<15 min,yes,notes,e
18,female,public,graduate,3.7,87.8,yes,>60 min,no,textbook,d
17,female,private,post graduate,7.9,65.5,no,<15 min,no,notes,b
16,other,public,high school,1.1,58.1,no,15-30 min,no,notes,e
16,female,public,high school,1.3,61.0,yes,30-60 min,yes,group study,f
19,male,public,no formal,3.8,69.6,yes,>60 min,yes,coaching,d
14,female,private,post graduate,1.8,81.6,yes,30-60 min,no,textbook,f
18,female,private,post graduate,5.6,59.4,yes,>60 min,yes,group study,d
15,other,private,high school,3.2,89.6,yes,15-30 min,yes,mixed,d
14,female,public,diploma,6.8,62.4,yes,>60 min,no,mixed,d
17,female,private,graduate,6.1,90.5,yes,15-30 min,no,notes,c
19,other,public,post graduate,4.0,96.2,yes,<15 min,yes,notes,d
18,female,private,high school,6.8,58.2,yes,>60 min,no,mixed,c
18,other,public,diploma,1.3,95.9,yes,30-60 min,yes,textbook,e
18,other,public,high school,4.9,85.3,yes,<15 min,no,coaching,d
18,other,private,post graduate,5.0,94.4,yes,15-30 min,yes,coaching,c
17,other,private,phd,2.3,67.3,yes,<15 min,yes,mixed,e
14,female,public,post graduate,0.9,93.2,yes,15-30 min,yes,online videos,e
19,male,public,post graduate,4.5,73.8,yes,30-60 min,yes,online videos,d
16,female,public,post graduate,4.4,59.5,yes,<15 min,no,mixed,d
17,male,private,phd,5.4,99.8,yes,>60 min,no,textbook,c
16,female,public,diploma,2.1,97.4,yes,>60 min,yes,group study,d
15,other,public,high school,1.8,56.2,no,30-60 min,yes,online videos,f
19,female,public,phd,7.8,72.8,yes,15-30 min,yes,notes,b
18,male,public,no formal,1.4,99.3,yes,<15 min,no,mixed,e
17,male,private,diploma,8.0,77.4,yes,>60 min,no,coaching,b
16,other,public,post graduate,5.9,74.9,yes,15-30 min,no,textbook,c
18,other,private,post graduate,5.2,59.8,yes,<15 min,yes,textbook,c
17,female,private,post graduate,3.0,71.0,yes,15-30 min,no,mixed,e
16,other,public,diploma,7.0,74.9,yes,>60 min,yes,textbook,c
16,other,private,phd,7.3,85.7,yes,30-60 min,yes,group study,b
15,female,private,high school,5.9,72.5,yes,>60 min,yes,textbook,c
14,male,private,no formal,5.8,81.7,yes,30-60 min,yes,notes,c
17,other,public,graduate,4.2,55.1,no,15-30 min,no,coaching,d
19,female,public,high school,1.1,88.2,yes,30-60 min,no,coaching,e
14,other,private,diploma,8.0,50.2,yes,30-60 min,no,online videos,b
19,other,public,diploma,0.6,82.1,yes,>60 min,no,coaching,e
18,female,public,high school,4.2,91.3,yes,15-30 min,no,notes,c
15,female,private,phd,3.3,88.3,yes,15-30 min,yes,notes,d
17,male,public,diploma,6.3,57.4,yes,<15 min,yes,notes,d
14,other,private,post graduate,6.0,92.2,yes,15-30 min,yes,textbook,b
18,male,private,no formal,5.2,54.0,yes,30-60 min,yes,notes,e
18,female,public,phd,1.1,53.3,yes,15-30 min,no,group study,f
16,female,private,phd,2.3,91.1,yes,30-60 min,no,mixed,d
14,male,private,no formal,1.2,59.1,yes,<15 min,no,group study,e
19,female,private,graduate,7.8,72.4,yes,30-60 min,no,mixed,c
16,other,public,graduate,1.5,96.8,yes,>60 min,no,coaching,e
19,male,private,high school,7.8,60.4,yes,>60 min,yes,online videos,a
18,male,private,post graduate,1.3,89.0,yes,15-30 min,yes,coaching,f
18,male,private,post graduate,7.0,79.2,no,30-60 min,no,coaching,a
18,male,public,phd,4.8,70.3,yes,>60 min,yes,textbook,c
15,male,private,graduate,6.7,73.0,yes,15-30 min,no,notes,b
16,female,public,post graduate,5.3,70.5,yes,15-30 min,yes,notes,c
16,other,public,post graduate,6.3,91.4,no,>60 min,yes,coaching,b
16,other,private,post graduate,6.0,90.7,yes,>60 min,yes,online videos,b
14,other,public,graduate,2.5,68.7,yes,>60 min,no,online videos,f
17,other,public,post graduate,7.5,84.9,no,>60 min,yes,textbook,b
14,female,private,no formal,5.3,76.6,yes,15-30 min,no,online videos,c
18,other,public,graduate,2.0,87.4,yes,15-30 min,no,online videos,e
18,male,private,high school,2.8,52.5,yes,>60 min,yes,notes,e
19,other,public,diploma,4.5,66.8,yes,15-30 min,no,mixed,d
18,male,private,post graduate,7.1,66.8,yes,>60 min,no,online videos,b
16,other,private,no formal,6.5,79.8,yes,30-60 min,yes,coaching,c
19,male,public,post graduate,2.8,60.4,yes,30-60 min,yes,group study,e
16,male,private,high school,5.7,76.6,yes,30-60 min,no,group study,c
15,female,public,post graduate,0.5,99.0,yes,>60 min,no,notes,f
19,other,private,post graduate,3.0,52.2,yes,<15 min,yes,notes,e
16,male,public,no formal,6.8,75.2,no,<15 min,yes,online videos,c
14,male,private,high school,1.6,56.9,yes,15-30 min,yes,group study,e
16,female,private,post graduate,3.2,79.1,yes,15-30 min,no,notes,d
18,other,public,diploma,0.5,62.0,no,15-30 min,no,group study,f
